timestamp,value
1772935692.3292716,-33361.988814437675
1772935695.7261975,-21214.812454332674
1772935695.7262256,-4850.540500794021
1772935698.907147,-17322.395112229933
1772935700.6744192,-52806.427184175176
1772935700.6904633,-46463.299699068055
1772935702.135439,-63126.900996309865
1772935702.13546,-55809.93018593006
1772935702.13547,-49631.750303974644
1772935702.1354785,-51425.912177370345
1772935702.1354868,-58000.49596918338
1772935702.135495,-60762.177264343925
1772935702.1355028,-56268.88416478197
1772935702.1355107,-50365.94819171765
1772935702.1355186,-51087.740080182746
1772935702.1355262,-58539.66859003098
1772935702.135534,-63398.54198564179
1772935702.1355417,-55876.54494572789
1772935702.1355493,-35526.536529530065
1772935702.241855,-49693.81812495202
1772935702.2418756,-52713.1971431281
1772935702.2418876,-52935.22299545027
1772935702.2418988,-50124.200748944895
1772935702.2419083,-48319.95581813236
1772935702.241917,-50101.6887922288
1772935702.241926,-52928.105097588705
1772935702.2419407,-52701.437751691345
1772935702.2419543,-49632.67953110199
1772935702.2419689,-48129.442166240246
1772935702.2419813,-50593.22027174527
1772935702.2419891,-53678.62624579044
1772935702.2419977,-52647.326059697065
1772935702.2420056,-48361.95355406811
1772935702.2420137,-47074.74197830917
1772935702.242022,-52057.96517408074
1772935702.24203,-57293.927935145584
1772935702.242038,-52125.92426101344
1772935702.2420464,-32736.931233845393
1772935702.5410798,-45989.047405266996
1772935702.541103,-46233.466090573
1772935702.541116,-51847.36869744609
1772935702.541126,-55999.58102377831
1772935702.5411344,-49589.6919366299
1772935702.5411432,-30499.910020946794
1772935703.2159708,-30738.939053033733
1772935703.3122687,-31503.07144946924
1772935703.3403986,-54692.545247219256
1772935703.34042,-48350.41994397898
1772935703.34043,-29365.024190377208
1772935703.3725538,-29606.672755937667
1772935703.7901876,-30273.319658262913
1772935703.945815,-43837.06479793465
1772935703.9458444,-43810.71039993781
1772935703.945854,-42793.443348520224
1772935703.9458625,-42076.074378320875
1772935703.9458709,-42660.74809982398
1772935703.9458933,-43894.33290482389
1772935703.9459014,-44158.01265382287
1772935703.9459095,-42936.822182934724
1772935703.9459178,-41698.46999958564
1772935703.945926,-42213.383669420036
1772935703.9459336,-44131.70900833581
1772935703.9459412,-44979.82590577399
1772935703.9459493,-43149.72304558538
1772935703.9459567,-40526.11915186662
1772935703.9459648,-40980.39721649109
1772935703.9459727,-45400.57423326542
1772935703.94598,-48637.071571521126
1772935703.9459877,-42830.16661986296
1772935703.945995,-24981.790366875393
1772935704.1065936,-39761.93467856092
1772935704.137644,-39415.69096848327
1772935704.1376684,-43213.71991067647
1772935704.137678,-46865.87704452423
1772935704.137687,-41914.446140665386
1772935704.1376953,-24164.504646252553
1772935704.2269928,-37527.729404600504
1772935704.2270164,-37674.46000554243
1772935704.2270265,-36958.52535103665
1772935704.2270374,-36259.6939372507
1772935704.2270477,-36568.26311612353
1772935704.227056,-37615.96562784439
1772935704.227064,-38030.353374557344
1772935704.2270722,-37078.95394758602
1772935704.22708,-35860.69546992628
1772935704.2270885,-36129.04494432519
1772935704.2270963,-37877.6230918145
1772935704.227104,-38859.17190071568
1772935704.227112,-37273.88913795841
1772935704.2271197,-34671.259141605384
1772935704.2271273,-34902.29736258535
1772935704.2271345,-39165.86988290003
1772935704.227142,-42522.32249226953
1772935704.2271497,-36940.018441054686
1772935704.2271576,-19112.594773700217
1772935704.5071368,-37410.4395800006
1772935704.507168,-18817.801458645547
1772935704.539312,-17994.270229641468
1772935704.603593,-17655.580675307738
1772935704.633659,-32314.415126697306
1772935704.6336803,-32475.883045837494
1772935704.6336968,-36688.484776927966
1772935704.6337054,-40082.33416918509
1772935704.6337132,-34572.54787579472
1772935704.633721,-16749.932308096755
1772935704.7461364,-34985.72635589265
1772935704.7621644,-16335.075523679086
1772935704.9228592,-33652.68981907982
1772935704.9228947,-15279.18607982244
1772935705.363612,-34684.06934420188
1772935705.363633,-38982.494033255905
1772935705.3636425,-33206.34338207247
1772935705.3636513,-14326.346979319245
1772935705.4158702,-33208.65663373471
1772935705.4158971,-37702.558124350035
1772935705.4159122,-32561.62296304721
1772935705.4159265,-13863.005395582531
1772935705.5764923,-31212.042261575632
1772935705.5925474,-12904.063385799664
1772935705.8757176,-28284.793432784416
1772935705.8757432,-29622.280817654686
1772935705.8757536,-28510.549307849153
1772935705.8757627,-26282.338844494996
1772935705.8757713,-26114.366910233035
1772935705.8757796,-28608.1223951886
1772935705.8757885,-30462.45749040302
1772935705.875797,-28651.748626221488
1772935705.8758059,-25048.57557933087
1772935705.87582,-24913.23622796911
1772935705.875828,-29956.172702400556
1772935705.875837,-34137.85913634551
1772935705.8758497,-28265.80780452965
1772935705.8758628,-9439.844048996016
1772935705.9299595,-32659.09420983781
1772935705.929987,-27764.633038129414
1772935705.9299977,-9604.131734818558
1772935706.108733,-17067.57742360951
1772935706.108781,-16367.168169109831
1772935706.10881,-16895.734919093647
1772935706.1088257,-17929.449265825064
1772935706.1088417,-18004.97159763207
1772935706.108852,-16988.200727645442
1772935706.1088605,-16302.334604317948
1772935706.108872,-16939.09728061866
1772935706.1088858,-18027.63406141096
1772935706.1088998,-18021.886738546084
1772935706.1089127,-16892.42790557698
1772935706.1089213,-16221.301699587939
1772935706.1089292,-16991.100361575856
1772935706.1089375,-18151.008897128242
1772935706.1089456,-18045.40566650925
1772935706.108954,-16770.65243303553
1772935706.1089623,-16114.58414662167
1772935706.1089704,-17057.48529315453
1772935706.1089785,-18315.918104205848
1772935706.1089869,-18079.50290051496
1772935706.1089952,-16604.022655814275
1772935706.1090045,-15963.46243343779
1772935706.109013,-17150.46029382306
1772935706.1090212,-18556.861101593495
1772935706.1090295,-18132.07884395418
1772935706.1090376,-16349.41502803808
1772935706.1090462,-15724.961229507295
1772935706.109054,-17301.63755821584
1772935706.1090624,-18961.867749798803
1772935706.1090703,-18220.77375665091
1772935706.1090791,-15881.276054585443
1772935706.109088,-15273.696743216717
1772935706.1090968,-17624.966825790154
1772935706.109105,-19841.98511890948
1772935706.1091137,-18386.28176813732
1772935706.109122,-14621.217285238046
1772935706.10913,-14031.46754269387
1772935706.1091383,-18975.3078994218
1772935706.109146,-23561.775611680026
1772935706.1092298,-18024.565061151687
1772935706.1092384,1023.5709891940877
1772935706.1568844,1594.8149961282575
1772935706.4641223,-11298.796838572216
1772935706.46415,-11694.593982436974
1772935706.4641595,-12444.31550322795
1772935706.4641683,-12533.78007443322
1772935706.464177,-11760.533660291927
1772935706.4641848,-11108.027055392702
1772935706.464193,-11519.584787103193
1772935706.464201,-12569.889573218787
1772935706.4642093,-12856.852112786417
1772935706.4642172,-11823.536662235343
1772935706.464225,-10708.222097441296
1772935706.4642327,-11138.412443280336
1772935706.4642408,-12867.408313980806
1772935706.464249,-13648.35856449371
1772935706.4642568,-11958.95721856566
1772935706.4642644,-9519.16427898739
1772935706.464272,-9971.816675122624
1772935706.464282,-14196.505837401332
1772935706.464292,-17283.840526645632
1772935706.4643,-11557.555397589742
1772935706.4643078,6129.109055125838
1772935707.4601808,5648.744269209241
1772935707.6208866,6261.623161123168
1772935710.2555895,7478.884878861765
1772935710.4001808,7934.907909429696
1772935710.6572742,7297.170667779297
1772935710.7215428,6782.805661155042
