timestamp,value
1772935798.0874987,13689.301062694029
1772935798.0875382,16370.763628845454
1772935798.0875485,3342.4269802059493
1772935798.0875576,-13501.462235716324
1772935798.0875678,-23212.00706030455
1772935798.0875807,-24292.592596178518
1772935798.0875924,-22222.32982425249
1772935798.0876093,-21240.73986148437
1772935798.0876203,-20871.797639638433
1772935798.0876317,-19738.716312588625
1772935798.087642,-19310.403387574177
1772935798.0876536,-21531.369108400777
1772935798.0876656,-24363.460631133785
1772935798.087679,-23279.263648177253
1772935798.08769,-18148.650115961223
1772935798.0877025,-15558.582345697168
1772935798.0877132,-20976.63375506277
1772935798.0877242,-29429.898632699318
1772935798.0877357,-28192.30356877322
1772935798.0877469,-11292.245460564825
1772935798.08776,10742.505927122453
1772935798.0877774,19431.344729794073
1772935798.0877936,7374.736596441752
1772935798.0878084,-13874.599396291496
1772935798.0878196,-26581.982947310895
1772935798.0878277,-25277.778400851636
1772935798.0878365,-19472.775351570195
1772935798.0878446,-19163.606080142497
1772935798.0878522,-22773.56658561301
1772935798.0878608,-22522.809049174746
1772935798.1034968,22087.088224930285
1772935798.1486633,12599.569268948697
1772935798.148682,-17593.809968452202
1772935798.148692,-39342.84188081594
1772935798.1878755,-27431.04920779
1772935798.1879072,-30503.76212150351
1772935798.187924,-24941.47549352959
1772935798.187939,-9212.574358837712
1772935798.1879525,9859.312006493272
1772935798.2038844,18207.758258050133
1772935798.2993555,8002.748323910107
1772935798.299376,-7367.319514495302
1772935798.2993865,-23433.295481521396
1772935798.299396,-30479.137721134073
1772935798.299404,-25557.03549755318
1772935798.2994125,-15768.96631638682
1772935798.2994208,-12434.91530755252
1772935798.2994292,-19972.422685994046
1772935798.2994373,-30238.00439402237
1772935798.2994459,-29543.540256267468
1772935798.327371,-19495.64549046349
1772935798.3273973,-18907.871061274163
1772935798.3435209,-20508.147087224308
1772935798.3856213,-20870.682926729776
1772935798.3856456,-21478.74890370784
1772935798.3856556,-20923.284963179012
1772935798.385664,-19760.14674663084
1772935798.385673,-19208.819916403903
1772935798.3856812,-20148.318119815227
1772935798.3856893,-22105.703609332115
1772935798.4017,-22477.853121570588
1772935798.4740186,-20878.641813079485
1772935798.4740489,-19657.429869029795
1772935798.474059,-20056.433254598902
1772935798.4740684,-22047.25550443811
1772935798.4740777,-23274.214698631607
1772935798.4740865,-21903.287824936666
1772935798.4740949,-19476.16160133187
1772935798.4741037,-19487.492889282716
1772935798.474112,-22638.439419697646
1772935798.47412,-24975.088934389634
1772935798.474128,-22550.526474953298
1772935798.474141,-17580.729293370616
1772935798.4741492,-17338.446719275904
1772935798.4741628,-24840.06136120788
1772935798.474176,-31616.310751653025
1772935798.5222042,-16226.77275535342
1772935798.5222251,-16286.666901758488
1772935798.5222359,-23933.422885134605
1772935798.5222452,-30301.719402483763
1772935798.5222569,-21015.198315421054
1772935798.5222669,9478.861667554676
1772935798.522276,50064.4193534956
1772935798.6266253,15835.20959895108
1772935798.6266553,-4490.069727847921
1772935798.6266663,-18187.292295474683
1772935798.6266756,-19243.279797522424
1772935798.626685,-13768.835218292505
1772935798.6266942,-10252.26548121968
1772935798.6267035,-10972.49718916821
1772935798.6267123,-13085.167800126701
1772935798.6267211,-14375.864399056936
1772935798.6267297,-14864.545934972917
1772935798.6267445,-14211.420795926872
1772935798.626753,-11540.379659586662
1772935798.6267617,-8883.549424406383
1772935798.6267705,-11159.200578942644
1772935798.6267788,-18939.97252524531
1772935798.6267877,-22514.537558756023
1772935798.626796,-8613.176095821475
1772935798.6268044,23397.634796357517
1772935798.6268127,54321.39411755657
1772935798.642738,19287.03064777651
1772935798.6758132,-4953.733828951269
1772935798.6758378,-7128.375275781764
1772935798.6758485,6950.966525388126
1772935798.6758585,21722.811779485546
1772935798.6758673,21549.408283888326
1772935798.6919007,8933.413656178853
1772935798.7702303,-20642.557733245667
1772935798.7702484,-25256.892428904965
1772935798.7702584,-12132.330760855306
1772935798.7702677,-517.420268301894
1772935798.7702763,-3960.8871568973095
1772935798.770285,-16009.287823750692
1772935798.7702932,-20540.72198424262
1772935798.770302,-12413.394880136166
1772935798.7703102,-2917.01792501612
1772935798.770318,-4520.723272058048
1772935798.770326,-14931.36751021868
1772935798.7703335,-20346.923793620237
1772935798.7703414,-13312.922592916544
1772935798.7703493,-2566.037688814044
1772935798.8174293,32819.36079376037
1772935798.8174467,15365.613989378953
1772935798.8174567,-8166.73183630074
1772935798.817466,-17492.38503631269
1772935798.8174744,-11683.16812197236
1772935798.8174827,-5813.607096682025
1772935798.8174908,-10229.815371401888
1772935798.8585732,-12195.270861367791
1772935798.858601,-7542.7682727611145
1772935798.858616,-6879.801066076547
1772935798.8586257,-14927.190470316276
1772935798.8586347,-22249.646950366638
1772935798.8586433,-11825.811767393277
1772935798.858652,21473.297930725435
1772935798.8586607,61485.43597114668
1772935798.8586693,83754.90480007928
1772935798.8877964,77174.01055073648
1772935798.8878164,51333.36611158491
1772935798.9358933,-15799.54669975795
1772935798.9359117,-23999.578650985193
1772935798.9359229,-12589.293952012995
1772935798.935933,-3055.020403239142
1772935799.05138,-5064.536987065999
1772935799.0514224,-13206.685802824093
1772935799.0514324,-17492.642588334413
1772935799.0514412,-13588.424413582494
1772935799.05145,-6838.275416387589
1772935799.0514588,-5395.366523878359
1772935799.051467,-11565.677514035102
1772935799.0514755,-18947.907352681967
1772935799.0514839,-17440.43559989053
1772935799.051492,-2554.230009792167
1772935799.0515006,18398.914121297297
1772935799.051509,30009.762393949688
1772935799.0515168,21512.586810946046
1772935799.0515249,-2116.929590749507
1772935799.0515325,-22429.11727723083
1772935799.0515404,-22876.614054285565
1772935799.0515487,-3261.728083484525
1772935799.0515568,20579.832480892437
1772935799.0515647,30768.994718458238
1772935799.0515726,21011.451534535856
1772935799.0515804,-1146.3597685520892
1772935799.0515883,-21321.523376074045
1772935799.0515964,-26109.025028411113
1772935799.0516043,-8668.686872581922
1772935799.0516124,25922.088739499002
1772935799.0516205,58346.64828778615
1772935799.051628,64076.9021472964
1772935799.0996077,73407.46254153064
1772935799.1317425,56719.28752427942
1772935799.182958,20147.2346488531
1772935799.1829784,-25249.05445250585
1772935799.1829884,-36025.762480623656
1772935799.1829965,-7926.879088067096
1772935799.1830049,34791.33541029368
1772935799.183014,60052.31933994312
1772935799.183023,53205.36537537181
1772935799.267378,23146.556319953357
1772935799.2673979,-8101.886031205116
1772935799.2674072,-20950.84086085264
1772935799.267416,-17041.672202729766
1772935799.26743,-9359.589073190798
1772935799.2674391,-7335.420135365375
1772935799.2674472,-10546.897627083179
1772935799.267455,-13736.548580460376
1772935799.2674632,-13961.93122222969
1772935799.267471,-12098.28017397732
1772935799.2674787,-10123.781755778946
1772935799.2674863,-9489.662630048802
1772935799.2674944,-11321.699423889913
1772935799.2675023,-15224.666785717924
1772935799.2675104,-16756.75842468922
1772935799.267518,-8646.642296429747
1772935799.283342,51544.016701879314
1772935799.3767693,17118.789122121896
1772935799.3767912,-3240.626595709266
1772935799.3768013,-17370.786707621406
1772935799.3768108,-18788.249303051693
1772935799.37682,-12934.987549191825
1772935799.376829,-8903.812840094346
1772935799.3768373,-10288.526057182811
1772935799.3768454,-13976.367424788597
1772935799.3768537,-15564.808623676941
1772935799.3768616,-14099.781349857325
1772935799.3768697,-11933.965620794537
1772935799.3768775,-11586.516117023011
1772935799.3768857,-13390.095444695935
1772935799.3768933,-15475.05790362971
1772935799.3769011,-15509.772052355924
1772935799.3769093,-13039.40761238056
1772935799.3769171,-10674.100433589045
1772935799.376929,-12086.473535061075
1772935799.3769367,-17259.05312090817
1772935799.376944,-19717.608627090118
1772935799.3769522,-10731.183081928712
1772935799.37696,11419.136525993985
1772935799.45006,-11515.19467105163
1772935799.4500854,-10803.751585243817
1772935799.4500968,-9982.916897658917
1772935799.4501069,-10283.03647354214
1772935799.4501169,-11190.568267471961
1772935799.450132,-11236.739604098162
1772935799.450147,-10257.098818393033
1772935799.4501607,-9734.781270068419
1772935799.4501696,-10612.527737046354
1772935799.4501784,-11744.399604478784
1772935799.4501877,-11420.002097468594
1772935799.4501965,-9973.440929246732
1772935799.4502058,-9629.087936114898
1772935799.4502196,-11378.350453676601
1772935799.450234,-13074.903604054109
1772935799.4502487,-11841.816900159223
1772935799.4502609,-8191.104180966703
1772935799.5213923,612.2511359485304
1772935799.5214121,19205.30068705121
1772935799.5214317,25622.389285291105
1772935799.55348,58228.11107365419
1772935799.6368215,29273.113077744136
1772935799.6368415,-12191.558533156029
1772935799.6368513,-27746.042786708535
1772935799.6368608,-14953.927929812719
1772935799.6368697,904.5560444131776
1772935799.6529603,68124.58787901157
1772935799.685001,53172.48240488412
1772935800.084677,25586.45202492573
1772935800.084712,-10826.735317615055
1772935800.0847385,-22158.422617040702
1772935800.0847647,-12966.858849727822
1772935800.0847912,-3414.9021425628457
1772935800.084818,-5181.763563157084
1772935800.0848444,-12614.32721032206
1772935800.084871,-14745.313121113173
1772935800.0848975,-9952.5433816003
1772935800.084924,-5873.062550260929
1772935800.0849428,-7857.492257210062
1772935800.0849507,-12408.074370128475
1772935800.084959,-13074.440782121826
1772935800.0849712,-9394.199109353569
1772935800.0849793,-6823.55419736233
1772935800.0849872,-8791.07244366677
1772935800.0849948,-12249.289439549482
1772935800.085003,-12352.084455074875
1772935800.0850105,-9197.806761360831
1772935800.0850186,-7359.872225243191
1772935800.0850265,-9336.442627453853
1772935800.0850344,-12229.218221161955
1772935800.085042,-12012.583311642458
1772935800.08505,-9145.78853722118
1772935800.0850575,-7745.928883771174
1772935800.0850651,-9737.235395745174
1772935800.0850737,-12255.759310730704
1772935800.085081,-11786.459834012567
1772935800.0850887,-9077.94685219748
1772935800.0850966,-7985.115722893137
1772935800.0851045,-10011.477087285144
1772935800.085112,-12258.58996915422
1772935800.08512,-11569.590954511355
1772935800.0851276,-8957.792690530148
1772935800.0851352,-8120.685057566032
1772935800.085143,-10210.89866948452
1772935800.0851593,-12246.196142048846
1772935800.0851667,-11348.748110159066
1772935800.0851748,-8799.041789980076
1772935800.0851824,-8201.802385001418
1772935800.08519,-10384.310782924882
1772935800.0851977,-12236.82528170709
1772935800.0852053,-11120.983999843336
1772935800.0852132,-8608.10219657841
1772935800.0852208,-8256.88989370325
1772935800.0852287,-10566.625998495087
1772935800.0852363,-12253.791218067829
1772935800.085244,-10902.764251682444
1772935800.0852516,-8415.983835286102
1772935800.0852592,-8340.98599324336
1772935800.0852673,-10819.479891059536
1772935800.0852747,-12338.41506205004
1772935800.0852823,-10707.605188090663
1772935800.0852904,-8224.171167169694
1772935800.085298,-8454.703866881811
1772935800.0853057,-11125.45728778544
1772935800.085313,-12426.958217054505
1772935800.0853207,-10430.040964737658
1772935800.0853288,-7936.120582717521
1772935800.0853362,-8559.335418203449
1772935800.085344,-11491.677665660121
1772935800.0853517,-12509.956113259921
1772935800.085359,-10015.119191845039
1772935800.0853665,-7510.115935869515
1772935800.085374,-8706.064831535901
1772935800.0853815,-12037.370793630856
1772935800.0853891,-12637.028084457315
1772935800.0853968,-9365.33370194434
1772935800.0854044,-6844.72336815885
1772935800.0854115,-9034.561110840508
1772935800.0854192,-13130.255999472716
1772935800.0854266,-12976.061574672316
1772935800.085434,-8047.3644635369255
1772935800.0854416,-5283.722828214332
1772935800.085449,-9895.205899833418
1772935800.0854564,-16806.583884190506
1772935800.085464,-15066.974221425957
1772935800.0854716,-913.1813068647068
1772935800.085479,17019.39685800729
1772935800.0854864,27378.265895045402
1772935800.085494,28271.609999399432
1772935800.0855014,26286.898818646245
1772935800.0855088,24690.796812453988
1772935800.085516,18189.721349799533
1772935800.0855236,2442.3378229602654
1772935800.0855308,-15166.522705378582
1772935800.085545,-20791.47603661098
1772935800.0855527,-11305.72110713651
1772935800.08556,-673.3726688972381
1772935800.0855677,-4145.57549694908
1772935800.085575,-18115.352542151977
1772935800.0855827,-22145.025720716556
1772935800.0855906,-3523.6368514030783
1772935800.085598,24815.897798565322
1772935800.0856056,36383.72429805106
1772935800.0856133,20408.39641327723
1772935800.0856209,-6360.00687388492
1772935800.0856285,-19307.72534683925
1772935800.0856361,-13042.4530535126
1772935800.085644,-3818.773946787689
1772935800.0856516,-6566.695583310369
1772935800.0856593,-16449.89850127063
1772935800.0856671,-16909.910064660602
1772935800.0856757,-1664.1096878018939
1772935800.085683,18010.821727493705
1772935800.085691,28149.296073433678
1772935800.1198368,27821.198631017865
1772935800.1198635,25732.190173272087
1772935800.1198735,25069.358590373962
1772935800.1198833,19178.915784707988
1772935800.2282684,2199.7860619565704
1772935800.2283,-12508.637346174342
1772935800.2283108,-17258.57226482582
1772935800.22832,-11318.200089230953
1772935800.2283282,-4462.153688862758
1772935800.2283363,-5285.754346091555
1772935800.228345,-11377.91982541333
1772935800.2283535,-13873.456952122693
1772935800.2283611,-9747.788763639242
1772935800.2283692,-5318.625296973466
1772935800.228377,-6890.307316193641
1772935800.2283852,-11957.81979662312
1772935800.2283933,-13071.719383145144
1772935800.2284007,-8597.872874656445
1772935800.2284088,-5071.369534869115
1772935800.2284164,-7783.403824029367
1772935800.228424,-12958.137148043465
1772935800.228432,-12902.566803267267
1772935800.2284398,-7226.286475007277
1772935800.2284477,-4061.0693965334895
1772935800.2284555,-8668.631105427143
1772935800.2284667,-15038.584943392802
1772935800.2284744,-13340.354991144906
1772935800.2284825,-4452.265514858736
1772935800.22849,-1099.2026771804449
1772935800.2284975,-11026.823139402497
1772935800.228505,-22384.331766545096
1772935800.3076153,-8088.72674043526
1772935800.3076484,-11337.296080251139
1772935800.3076613,-10821.751932488794
1772935800.3076704,-6171.718096538754
1772935800.3076797,-3251.8875008623118
1772935800.3076882,-7527.752072947923
1772935800.3076978,-15444.909686929685
1772935800.3077068,-15339.056183308747
1772935800.3077152,138.3018486182727
1772935800.3077235,22944.71347539501
1772935800.3077328,34403.67877445412
1772935800.307741,23555.237744802303
1772935800.3077495,-300.28031270813943
1772935800.3077579,-16200.698786277093
1772935800.3397317,25763.14277045855
1772935800.3718946,27350.447855541563
1772935800.469384,5578.142266653399
1772935800.4694097,-11362.703186790235
1772935800.4694192,-14898.451496138849
1772935800.469428,-7901.787213797162
1772935800.469437,-2359.391075469589
1772935800.4694452,-4264.457660154116
1772935800.4694533,-8646.417160600535
1772935800.469462,-8887.889952595817
1772935800.46947,-5922.8777539258945
1772935800.469478,-5214.422081165129
1772935800.469486,-7611.8025723744895
1772935800.469494,-8301.227869910084
1772935800.469502,-5254.426710026288
1772935800.4695103,-3731.2676851301662
1772935800.4695184,-8404.552684863325
1772935800.4695263,-13322.87574934548
1772935800.4695344,-5602.683681063145
1772935800.4695425,18589.430783568165
1772935800.46955,45387.06199119796
1772935800.469558,54907.83855126431
1772935800.4695656,41233.185940472154
1772935800.4695735,17288.936199848788
1772935800.4695816,-582.8443572909841
1772935800.4695895,-8501.233898256585
1772935800.6199055,-6204.315351968489
1772935800.619938,-812.8376023855428
1772935800.6199532,-2904.066536321956
1772935800.6199675,-7667.5777720499045
1772935800.6199813,-8076.739959642733
1772935800.6199956,-4340.025745408926
1772935800.6200087,-2184.226668130859
1772935800.620022,-4342.500541916519
1772935800.6200352,-7334.739519992421
1772935800.6200483,-6952.674294609288
1772935800.620062,-4041.7065925576053
1772935800.6200747,-2827.267572705158
1772935800.620087,-4833.2589696978175
1772935800.620098,-7037.878449603497
1772935800.620109,-6383.622345950149
1772935800.6201208,-3969.34425027418
1772935800.6201315,-3232.809639353011
1772935800.6201432,-5065.779898100125
1772935800.620155,-6776.570515228968
1772935800.6201673,-6043.38895836797
1772935800.6201806,-4056.4980339768417
1772935800.6201923,-3557.3620636257724
1772935800.6202035,-4849.96201371523
1772935800.658032,24079.927671282934
1772935800.6580586,35327.468079255974
1772935800.6580703,26809.51946058075
1772935800.6580808,4874.111461403094
1772935800.6580904,-12759.968709043276
1772935800.6581001,-14384.95922586362
1772935800.8850093,-8317.758546613328
1772935800.8850462,1502.4109023308295
1772935800.8850725,1839.8681699413223
1772935800.8851037,-6462.739830448756
1772935800.8851123,-12384.777188482885
1772935800.8851209,-8672.467806786799
1772935800.8851295,-612.5281915382052
1772935800.8851376,1111.9733316438057
1772935800.885146,-5677.227045326793
1772935800.885154,-11873.28867831452
1772935800.8851616,-9130.330435005742
1772935800.8851695,-1056.3672717829922
1772935800.8851774,1390.933861440375
1772935800.8851857,-5403.362622897936
1772935800.8851936,-12448.20448824218
1772935800.885202,-9922.75179973616
1772935800.8852098,-769.2099453459317
1772935800.8852177,2512.778552260855
1772935800.8852253,-5363.738529163993
1772935800.8852336,-14329.082452503286
1772935800.8852415,-11574.502261389207
1772935800.8852491,534.6512811192796
1772935800.8852568,5644.376095841605
1772935800.8852649,-5484.729273917042
1772935800.8852725,-20290.397195524638
1772935800.8852801,-17008.75591497163
1772935800.885288,8410.494105673004
1772935800.8852956,34203.529960589825
1772935800.8853037,35764.47415832399
1772935800.8853116,13901.915990063098
